filename	tags	description
icon_AI-Нейро.png	нейро, AI, технологии, онлайн, иконка	Иконка: нейро / AI технологии
icon_VIP.png	vip, премиум, статус, эксклюзив, иконка	Иконка VIP-доступа
icon_Активация.png	активация, старт, запуск, иконка	Иконка активации/старта
icon_Блокировка.png	блокировка, ограничение, стоп, запрет, иконка	Иконка блокировки
icon_Бонус.png	бонус, подарок, дополнительно, иконка	Иконка бонуса
icon_Вопрос ответ.png	вопрос, ответ, q&a, помощь, иконка	Иконка Q&A / вопрос-ответ
icon_Вопрос.png	вопрос, непонимание, помощь, иконка	Иконка вопроса
icon_Время.png	время, часы, дедлайн, ограничено, иконка	Иконка времени/часов
icon_Гарантия возврата.png	гарантия, возврат, безопасность, иконка	Иконка гарантии возврата
icon_Домашнее задание.png	домашнее задание, практика, задание, иконка	Иконка домашнего задания
icon_Доп.модуль.png	дополнительный модуль, бонус, расширение, иконка	Иконка доп. модуля
icon_Доступ к записям.png	доступ, записи, архив, видео, иконка	Иконка доступа к записям
icon_Доступ_Премиум.png	премиум доступ, vip, расширенный, иконка	Иконка премиум-доступа
icon_Закрытый клуб.png	клуб, закрытый, комьюнити, участие, иконка	Иконка закрытого клуба
icon_Кармический узел.png	карма, узел, астрология, иконка	Иконка кармического узла
icon_Книга.png	книга, материалы, методичка, обучение, иконка	Иконка книги/учебника
icon_Куратор.png	куратор, поддержка, наставник, сопровождение, иконка	Иконка куратора
icon_Лунные фазы.png	луна, фазы, лунный календарь, астрология, иконка	Иконка лунных фаз
icon_Методичка.png	методичка, материалы, гайд, обучение, иконка	Иконка методички
icon_Настройки.png	настройки, конфигурация, инструменты, иконка	Иконка настроек
icon_Пдф.png	pdf, документ, материал, скачать, иконка	Иконка PDF-документа
icon_Планеты.png	планеты, астрология, иконка	Иконка планет
icon_Поддержка.png	поддержка, помощь, сопровождение, иконка	Иконка поддержки
icon_Проверка домашнего задания.png	проверка, домашнее задание, обратная связь, иконка	Иконка проверки д/з
icon_Прямой эфир.png	прямой эфир, онлайн, live, эфир, иконка	Иконка прямого эфира
icon_Рост.png	рост, развитие, прогресс, иконка	Иконка роста
icon_Сертификат.png	сертификат, диплом, достижение, иконка	Иконка сертификата
icon_Снижение.png	снижение, скидка, цена, иконка	Иконка снижения/скидки
icon_Сообщение.png	сообщение, чат, коммуникация, иконка	Иконка сообщения
icon_Финансы.png	финансы, деньги, иконка	Иконка финансов
icon_Чат.png	чат, общение, сообщения, иконка	Иконка чата
icon_Магнит клиентов.png	магнит, клиенты, привлечение, иконка	Иконка магнита клиентов
bonus_1.png	опция, бонус, вариант, иконка	Иконка опции/варианта №1
bonus_Гарантия-1.png	гарантия, безопасность, защита, иконка	Иконка гарантии (вариант 1)
bonus_Гарантия-2.png	гарантия, безопасность, альтернатива, иконка	Иконка гарантии (вариант 2)
bonus_Магнит клиентов.png	магнит, клиенты, привлечение, бонус	Бонус: магнит клиентов
bonus_НейроКуратор.png	нейро куратор, ai, поддержка, бонус	Бонус: нейро-куратор
bonus_Нейроастролог.png	нейроастролог, ai, астрология, бонус	Бонус: нейроастролог
bonus_Чат.png	чат, общение, бонус	Бонус: чат
bonus_Эфиры.png	эфиры, прямой эфир, live, бонус	Бонус: эфиры
planet_Su.png	Солнце, планета, астрология, джйотиш, su	Планета Солнце (Su) — ведическая астрология
